City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,acajutla,13.5928,-89.8275,32.09,51,0,3.26,SV,1702413287
272,raduzhny,62.0961,77.475,-21.35,88,100,5.15,RU,1702413287
273,borgarnes,64.5383,-21.9206,1.03,95,99,3.52,IS,1702413288
274,wamba,8.9333,8.6,22.03,22,1,2.24,NG,1702413288
275,arraial do cabo,-22.9661,-42.0278,25.98,69,40,5.14,BR,1702413288
276,porto novo,6.4965,2.6036,27.9,73,14,2.14,BJ,1702413288
277,jiwani,25.05,61.7417,23.97,41,46,1.87,PK,1702413288
278,tindouf,27.6711,-8.1474,19.25,26,0,2.06,DZ,1702413289
279,farah,32.5,62.5,9.33,40,100,0.71,AF,1702413289
280,yankton,42.8711,-97.3973,0.62,50,40,1.54,US,1702413289
281,hammerfest,70.6634,23.6821,-8.75,86,0,1.03,NO,1702413289
282,haiku-pauwela,20.9219,-156.3051,25.65,73,20,7.72,US,1702413290
283,rio claro,-22.4114,-47.5614,26.59,51,0,3.81,BR,1702413197
284,lompoc,34.6391,-120.4579,22.79,47,0,4.63,US,1702413290
285,usogorsk,63.4106,48.6872,-12.96,93,100,3.98,RU,1702413290
286,michurinsk,52.8978,40.4907,-10.79,93,100,8.6,RU,1702413290
287,amos,48.5669,-78.1162,-4.78,73,44,4.39,CA,1702413290
288,muli,2.9167,73.5667,27.52,72,44,3.05,MV,1702413291
289,petawawa,45.9001,-77.3328,2.77,62,75,4.12,CA,1702413291
290,la pesa,7.4954,-72.3818,14.92,66,66,1.52,VE,1702413291
291,annaba,36.9,7.7667,13.98,82,0,0.0,DZ,1702413001
292,andergrove,-21.0833,149.1833,24.8,84,93,9.04,AU,1702413291
293,port-vila,-17.7338,168.3219,23.78,83,40,1.54,VU,1702413291
294,jacobina,-11.1806,-40.5183,28.46,34,16,2.53,BR,1702413292
295,katzrin,32.992,35.6877,15.37,86,61,1.61,IL,1702413292
296,novodvinsk,64.4165,40.8122,-11.14,95,100,2.9,RU,1702413292
297,san juan de miraflores,-12.1629,-76.9635,22.29,77,61,4.03,PE,1702413292
298,sandakan,5.8402,118.1179,26.82,94,20,1.03,MY,1702413292
299,minab,27.1467,57.0801,20.94,49,71,0.19,IR,1702413292
300,vilyuysk,63.7553,121.6247,-31.25,98,99,3.09,RU,1702413292
301,georgetown,5.4112,100.3354,24.96,97,20,0.0,MY,1702413013
302,mejit,10.2753,170.8646,27.46,81,100,9.83,MH,1702413293
303,papao,-17.75,-149.55,29.82,84,91,9.93,PF,1702413293
304,post,33.1909,-101.3782,13.87,48,100,7.64,US,1702413293
305,praia da vitoria,38.7333,-27.0667,14.14,82,20,7.24,PT,1702413293
306,jamaame,0.0697,42.745,27.04,79,81,3.91,SO,1702413293
307,ha'il,27.5219,41.6907,13.01,100,75,1.03,SA,1702413293
308,murun-kuren,49.6342,100.1625,-20.66,97,100,0.32,MN,1702413294
309,cabedelo,-6.9811,-34.8339,29.37,74,6,6.29,BR,1702413294
310,slavsk,55.0425,21.677,0.37,100,100,1.26,RU,1702413294
311,magangue,9.242,-74.7547,33.5,55,4,2.61,CO,1702413294
312,galliano,29.4422,-90.2992,17.78,34,0,4.12,US,1702413294
313,ketchikan,55.3422,-131.6461,9.26,76,100,12.86,US,1702413294
314,iwanai,42.9744,140.5089,-1.62,66,97,7.49,JP,1702413294
315,alofi,-19.0595,-169.9187,26.94,78,75,2.06,NU,1702413295
316,el charco,2.4769,-78.1105,27.93,86,82,3.47,CO,1702413295
317,yeed,4.55,43.0333,28.96,43,82,3.53,SO,1702413295
318,ioannina,39.6675,20.8508,1.86,100,78,0.0,GR,1702413295
319,shilin,24.8188,103.3324,12.13,97,92,3.13,CN,1702413295
